"ts_num","count","ts_date"
1559793000,2,2019-06-06 05:50:00
1559793300,3,2019-06-06 05:55:00
1559793600,4,2019-06-06 06:00:00
1559793900,9,2019-06-06 06:05:00
1559794200,4,2019-06-06 06:10:00
1559794500,4,2019-06-06 06:15:00
1559794800,5,2019-06-06 06:20:00
1559795100,5,2019-06-06 06:25:00
1559795400,10,2019-06-06 06:30:00
1559795700,5,2019-06-06 06:35:00
1559796000,10,2019-06-06 06:40:00
1559796300,14,2019-06-06 06:45:00
1559796600,10,2019-06-06 06:50:00
1559796900,11,2019-06-06 06:55:00
1559797200,38,2019-06-06 07:00:00
1559797500,41,2019-06-06 07:05:00
1559797800,36,2019-06-06 07:10:00
1559798100,33,2019-06-06 07:15:00
1559798400,34,2019-06-06 07:20:00
1559798700,43,2019-06-06 07:25:00
1559799000,34,2019-06-06 07:30:00
1559799300,22,2019-06-06 07:35:00
1559799600,48,2019-06-06 07:40:00
1559799900,27,2019-06-06 07:45:00
1559800200,38,2019-06-06 07:50:00
1559800500,34,2019-06-06 07:55:00
1559800800,80,2019-06-06 08:00:00
1559801100,70,2019-06-06 08:05:00
1559801400,81,2019-06-06 08:10:00
1559801700,67,2019-06-06 08:15:00
1559802000,77,2019-06-06 08:20:00
1559802300,91,2019-06-06 08:25:00
1559802600,70,2019-06-06 08:30:00
1559802900,81,2019-06-06 08:35:00
1559803200,82,2019-06-06 08:40:00
1559803500,78,2019-06-06 08:45:00
1559803800,87,2019-06-06 08:50:00
1559804100,73,2019-06-06 08:55:00
1559804400,19,2019-06-06 09:00:00
1559804700,11,2019-06-06 09:05:00
1559805000,19,2019-06-06 09:10:00
1559805300,21,2019-06-06 09:15:00
1559805600,33,2019-06-06 09:20:00
1559805900,23,2019-06-06 09:25:00
1559806200,19,2019-06-06 09:30:00
1559806500,18,2019-06-06 09:35:00
1559806800,12,2019-06-06 09:40:00
1559807100,22,2019-06-06 09:45:00
1559807400,19,2019-06-06 09:50:00
1559807700,10,2019-06-06 09:55:00
1559811600,6,2019-06-06 11:00:00
1559811900,2,2019-06-06 11:05:00
1559812500,1,2019-06-06 11:15:00
1559812800,2,2019-06-06 11:20:00
1559813100,3,2019-06-06 11:25:00
1559813400,1,2019-06-06 11:30:00
1559813700,4,2019-06-06 11:35:00
1559814000,1,2019-06-06 11:40:00
1559814300,3,2019-06-06 11:45:00
1559814600,2,2019-06-06 11:50:00
1559814900,4,2019-06-06 11:55:00
1559815200,30,2019-06-06 12:00:00
1559815500,32,2019-06-06 12:05:00
1559815800,29,2019-06-06 12:10:00
1559816100,22,2019-06-06 12:15:00
1559816400,42,2019-06-06 12:20:00
1559816700,39,2019-06-06 12:25:00
1559817000,26,2019-06-06 12:30:00
